"","R(age 1)","Low","High","SSB","Low","High","Fbar","Low","High","Catch","Low","High"
"45",173750.630725403,136339.44665067,221427.344903537,69050.6362816125,58364.9868522787,81692.6487615476,0.740845582134494,0.575072193460262,0.954405695162729,55193.0416481501,45754.4874617515,66578.6464971543
"46",195745.949385964,155051.436217842,247121.06921202,77560.2050807336,65284.4901990387,92144.1738125732,0.665030507958921,0.510434224462997,0.866449691890049,53123.8516811654,43944.3795730417,64220.8092334462
"47",156154.457648512,122613.670693286,198870.276908171,84715.1460814353,71389.2409441616,100528.537363386,0.660758562094316,0.505421808634072,0.863836640846358,56130.7738189298,46385.0975695144,67924.0517881882
"48",288412.508323817,226789.964046782,366778.906232717,88745.3805358959,73103.7279128584,107733.802246707,0.536123161117076,0.399442734560443,0.719572592057429,50746.3899206789,41797.2871828635,61611.5605473409
"49",117278.87658827,88528.7310796249,155365.774772438,101489.701366383,83235.5959219996,123747.050397645,0.378647680808457,0.279675509074277,0.512644337919291,42696.9249864195,35042.9098091182,52022.7176688844
"50",192889.290587506,151590.612606647,245439.198269458,103673.672567869,85504.7573822351,125703.302515222,0.39994145643801,0.296007986733295,0.540367745961784,43507.5426948022,35667.6393073827,53070.6911950921
"51",206106.003931026,162932.827001315,260719.00695661,109195.233093763,89808.4893135042,132766.946883809,0.362165776161228,0.270308135185913,0.485239000787943,42501.7001785577,34903.2403820176,51754.3499771637
"52",286085.3357246,225434.737769056,363053.272652692,114165.17693054,94017.5902710201,138630.309349664,0.357340570281988,0.268826685967945,0.474998539336539,46044.5753324914,37900.3700801692,55938.8447412231
"53",154642.20996976,116373.880007216,205494.678899152,136621.120887461,113028.43731617,165138.359122266,0.309415601382844,0.233351568018067,0.41027371357408,50308.5291800565,41421.8439869946,61101.7729933812
"54",111077.19931655,78813.3933857594,156548.82600497,159659.643539615,128681.641056145,198095.093954194,0.265631907887533,0.194277723037003,0.363193007334822,50048.2135987195,41193.489044635,60806.30076537
