"Full.F","YPR","SPR","SSBPR","Freport_5-5"
1.86,0.0303267930623947,0.0563980089800529,0.00899391881877052,1.86
1.87,0.03032713713653,0.0558754252466827,0.00891058120173507,1.87
1.88,0.0303273719786417,0.055358876221749,0.00882820595338522,1.88
1.89,0.0303274997863782,0.0548482737718134,0.00874677901888101,1.89
1.9,0.0303275227095234,0.0543435313947118,0.00866628660352552,1.9
1.91,0.0303274428512174,0.0538445641820801,0.00858671516678872,1.91
1.92,0.0303272622691412,0.0533512887829146,0.0085080514164964,1.92
1.93,0.0303269829766667,0.0528636233681338,0.00843028230317874,1.93
1.94,0.0303266069439726,0.05238148759611,0.00835339501457354,1.94
1.95,0.0303261360991281,0.0519048025791388,0.00827737697027911,1.95
1.96,0.0303255723291449,0.0514334908508183,0.00820221581655207,1.96
1.97,0.0303249174809986,0.0509674763343077,0.0081278994212455,1.97
1.98,0.0303241733626211,0.0505066843114382,0.00805441586888303,1.98
1.99,0.0303233417438643,0.0500510413926499,0.00798175345586452,1.99
2,0.0303224243574359,0.0496004754877283,0.00790990068579947,2
